epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.59,3.07873,3.9735,4.2698,0.00236,0.8,0.00433,0.00077,3.22771,4.473,4.1595,5.555e-05,5.555e-05,5.555e-05
2,158.574,3.08251,3.91096,4.22993,0.00389,1,0.01415,0.00267,3.23006,4.47619,4.16025,0.00011737,0.00011737,0.00011737
3,214.828,3.0537,3.86921,4.22007,0.00222,0.8,0.01004,0.00191,3.23144,4.48023,4.16087,0.000173911,0.000173911,0.000173911
4,274.888,3.10933,3.85165,4.19128,0.00226,0.8,0.01097,0.00189,3.23157,4.48554,4.16129,0.000225173,0.000225173,0.000225173
5,331.392,3.00511,3.86419,4.18104,0.00227,0.8,0.11155,0.02177,3.22763,4.48561,4.16081,0.000271155,0.000271155,0.000271155
6,376.862,3.01063,3.81776,4.16412,0.00218,0.8,0.13576,0.02473,3.21108,4.47756,4.15606,0.000311858,0.000311858,0.000311858
7,425.157,3.04889,3.85944,4.15282,0.00216,0.8,0.14372,0.02858,3.19327,4.46335,4.14789,0.000347281,0.000347281,0.000347281
8,475.333,3.01058,3.80716,4.13435,0.00216,0.8,0.12567,0.0249,3.2097,4.46064,4.1423,0.000377424,0.000377424,0.000377424
9,522.406,3.00382,3.77816,4.12807,0.00217,0.8,0.22222,0.04444,3.27009,4.47525,4.14212,0.000402289,0.000402289,0.000402289
10,572.111,3.02219,3.78887,4.11768,0.00216,0.8,0.33937,0.05384,3.33205,4.48605,4.14699,0.000421873,0.000421873,0.000421873
11,617.093,3.06742,3.76945,4.08315,0.00214,0.8,0.3083,0.03236,3.4003,4.54379,4.14769,0.000436179,0.000436179,0.000436179
12,667.178,2.94425,3.71213,4.06253,0.00214,0.8,0.25922,0.02697,3.36985,4.9194,4.10788,0.000445204,0.000445204,0.000445204
13,717.661,3.01881,3.711,4.02387,0.00214,0.8,0.26154,0.05231,3.21991,5.04236,4.03705,0.000448951,0.000448951,0.000448951
14,763.452,2.89466,3.74147,4.00452,0.4015,0.4,0.25955,0.05191,3.13962,9.83595,4.07124,0.000447417,0.000447417,0.000447417
15,814.304,2.98121,3.73071,3.96588,0.00215,0.8,0.27093,0.05523,3.07668,6.36346,4.02451,0.000440605,0.000440605,0.000440605
