epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.082,0.61349,3.27862,1.12607,0.0033,0.84667,0.21036,0.18712,0.34298,3.80465,0.65007,0.0002222,0.0002222,0.0002222
2,600.585,0.4678,2.4556,1.02169,0.16177,0.32,0.20445,0.1525,0.79575,3.64876,1.10432,0.000446491,0.000446491,0.000446491
3,804.44,0.52843,2.33496,1.02368,0.14805,0.3,0.15758,0.10076,1.96543,4.4415,2.14594,0.000661543,0.000661543,0.000661543
4,1002.2,0.5449,2.28519,1.02795,0.20512,0.44,0.24226,0.23271,0.42328,2.83509,0.83494,0.000867355,0.000867355,0.000867355
5,1200.52,0.50301,2.22257,1.03379,0.25147,0.56923,0.37044,0.29688,0.83762,3.47008,1.29015,0.00102301,0.00102301,0.00102301
6,1399.8,0.50984,2.10817,1.02613,0.26947,0.62883,0.34605,0.31442,0.60156,3.21853,1.10455,0.00100101,0.00100101,0.00100101
7,1636.82,0.51827,2.06462,1.02088,0.25579,0.50667,0.26125,0.20634,0.9977,3.44478,1.4763,0.000979013,0.000979013,0.000979013
8,1861.57,0.51033,2.03135,1.01253,0.2056,0.58,0.30878,0.27609,0.41627,2.57945,0.71155,0.000957015,0.000957015,0.000957015
9,2078.05,0.50935,1.89919,0.99432,0.32075,0.38911,0.34453,0.31583,0.45174,2.84533,0.73152,0.000935018,0.000935018,0.000935018
10,2276.39,0.48419,1.84394,1.00589,0.19362,0.61466,0.33848,0.30113,0.47812,3.15134,0.81089,0.00091302,0.00091302,0.00091302
11,2472.69,0.47935,1.797,1.00097,0.2966,0.73333,0.4962,0.4,0.6724,2.42562,0.93452,0.000891022,0.000891022,0.000891022
12,2669.68,0.46816,1.74101,1.01183,0.31671,0.75044,0.43443,0.40795,0.38942,2.40602,0.76649,0.000869024,0.000869024,0.000869024
13,2864.7,0.45311,1.68134,1.00254,0.38883,0.70652,0.51016,0.44083,0.5088,2.21159,0.83709,0.000847026,0.000847026,0.000847026
14,3059.5,0.42003,1.62186,0.98266,0.42961,0.69127,0.63772,0.57915,0.46524,2.06326,0.7716,0.000825029,0.000825029,0.000825029
15,3260.09,0.41248,1.59344,0.97045,0.38785,0.64481,0.51467,0.4687,0.42254,1.95121,0.80037,0.000803031,0.000803031,0.000803031
16,3448.27,0.44171,1.56826,0.98608,0.7237,0.57846,0.70915,0.61509,0.63378,1.93038,0.89079,0.000781033,0.000781033,0.000781033
17,3657.85,0.4423,1.48783,0.98474,0.43919,0.64341,0.57624,0.49503,0.58081,2.07931,0.87424,0.000759035,0.000759035,0.000759035
18,3848.93,0.40089,1.40022,0.97007,0.54249,0.63333,0.60825,0.56222,0.36538,1.61119,0.70407,0.000737037,0.000737037,0.000737037
19,4043.33,0.41197,1.33123,0.97589,0.405,0.75079,0.61661,0.52575,0.45487,1.69935,0.84303,0.00071504,0.00071504,0.00071504
20,4248.04,0.3905,1.31126,0.97565,0.65076,0.67735,0.77034,0.73733,0.37613,1.46901,0.7049,0.000693042,0.000693042,0.000693042
21,4434.11,0.41833,1.25977,0.97088,0.48141,0.54287,0.56698,0.51697,0.41467,2.22721,0.73279,0.000671044,0.000671044,0.000671044
22,4630.9,0.37339,1.23294,0.94588,0.67258,0.76,0.7738,0.71689,0.41666,1.48358,0.7375,0.000649046,0.000649046,0.000649046
23,4824.7,0.40485,1.18402,0.96263,0.55503,0.70667,0.68115,0.64283,0.35374,1.53038,0.71166,0.000627048,0.000627048,0.000627048
24,5012.57,0.37482,1.16782,0.96436,0.52347,0.74,0.70365,0.61842,0.44038,1.45368,0.81075,0.000605051,0.000605051,0.000605051
25,5211.67,0.39639,1.20373,0.96347,0.53666,0.74846,0.7167,0.66562,0.37867,1.29531,0.70511,0.000583053,0.000583053,0.000583053
26,5408.33,0.37982,1.07124,0.95949,0.6778,0.73777,0.75644,0.71263,0.38245,1.28518,0.72834,0.000561055,0.000561055,0.000561055
27,5607.88,0.34165,1.01326,0.94847,0.64986,0.76265,0.72773,0.6885,0.42957,1.60216,0.79365,0.000539057,0.000539057,0.000539057
28,5799.03,0.36465,1.00583,0.93802,0.62333,0.69762,0.72642,0.68748,0.36622,1.52401,0.70212,0.000517059,0.000517059,0.000517059
29,5989.33,0.34956,0.96458,0.94009,0.5557,0.73187,0.72292,0.66316,0.41322,1.4745,0.75524,0.000495062,0.000495062,0.000495062
30,6175.22,0.34854,0.94142,0.95301,0.67215,0.75193,0.78258,0.72324,0.44876,1.1856,0.78074,0.000473064,0.000473064,0.000473064
