epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.891,3.64428,6.02654,4.47823,0,0,0,0,3.73769,6.39515,4.15867,0.00013635,0.00013635,0.00013635
2,448.114,3.5128,5.97707,4.25511,0,0,0,0,3.74573,6.38942,4.16438,0.000270631,0.000270631,0.000270631
3,607.138,3.3053,5.49276,4.07067,0,0,0,0,3.75876,6.26125,4.17729,0.000393393,0.000393393,0.000393393
4,752.629,2.77595,4.92955,3.71577,0,0,0,0,3.75561,6.15155,4.19284,0.000504637,0.000504637,0.000504637
5,895.483,2.60557,4.5716,3.46699,0,0,0,0,3.73141,6.13066,4.20101,0.000604361,0.000604361,0.000604361
6,1043.52,2.35199,4.07768,3.13926,0,0,0,0,3.77069,6.0491,4.24695,0.000692567,0.000692567,0.000692567
7,1187.08,2.13865,3.73563,2.9301,0.00018,0.06939,0.03839,0.02302,3.06874,5.66537,3.63878,0.000693022,0.000693022,0.000693022
8,1334.81,1.94308,3.59518,2.68835,0.12597,0.51395,0.16022,0.09394,2.14,4.55728,2.75904,0.000657025,0.000657025,0.000657025
9,1480.74,1.76196,3.33684,2.59381,0.311,0.3411,0.18663,0.1222,1.5404,3.97785,2.27273,0.000621029,0.000621029,0.000621029
10,1624.18,1.5835,3.24583,2.41966,0.28897,0.3606,0.17694,0.09988,1.63917,4.34761,2.27912,0.000585032,0.000585032,0.000585032
11,1777.58,1.53478,3.07333,2.35726,0.34445,0.19074,0.27283,0.18812,1.3559,3.86451,2.2013,0.000549036,0.000549036,0.000549036
12,1921.85,1.47769,3.07245,2.26549,0.33615,0.53145,0.25077,0.18134,1.14037,3.19222,1.96445,0.00051304,0.00051304,0.00051304
13,2071.73,1.36343,2.90423,2.19413,0.28549,0.78061,0.25013,0.18117,1.14377,3.19838,1.90703,0.000477043,0.000477043,0.000477043
14,2216.72,1.36082,2.90432,2.14023,0.36048,0.49275,0.31203,0.26737,0.98736,3.24286,1.80256,0.000441047,0.000441047,0.000441047
15,2369.08,1.19113,2.77018,1.9856,0.35257,0.27369,0.24485,0.19656,1.05801,3.37331,1.81148,0.00040505,0.00040505,0.00040505
16,2510.64,0.97935,3.03782,1.81359,0.50328,0.29983,0.26039,0.1985,1.00965,3.2522,1.75349,0.000369054,0.000369054,0.000369054
17,2658.45,0.92891,2.92101,1.70481,0.41312,0.35607,0.22083,0.17735,0.87707,3.08628,1.68054,0.000333058,0.000333058,0.000333058
18,2799.35,0.89486,2.82562,1.66206,0.39401,0.27862,0.24352,0.19814,0.84184,3.02598,1.6174,0.000297061,0.000297061,0.000297061
19,2942.25,0.82759,2.81946,1.58044,0.29394,0.49581,0.24795,0.21343,0.7666,2.85053,1.52586,0.000261065,0.000261065,0.000261065
