epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.738,0.88264,3.29026,1.44174,0.0042,1,0.26296,0.2072,0.23079,3.88958,0.69606,8.888e-05,8.888e-05,8.888e-05
2,506.317,0.33981,2.93511,1.10094,0.00353,1,0.2402,0.20107,0.25498,3.83224,0.65464,0.00018513,0.00018513,0.00018513
3,678.534,0.2944,2.52222,1.05028,0.00405,0.95,0.21984,0.18761,0.54257,3.99441,0.98325,0.000277421,0.000277421,0.000277421
4,779.607,0.29209,2.2417,1.02872,0.00519,0.95,0.30687,0.28506,0.71008,3.83169,0.9799,0.000365752,0.000365752,0.000365752
5,974.904,0.27309,2.03838,1.00304,0.00589,1,0.36561,0.30645,0.58229,3.36287,1.03716,0.000450124,0.000450124,0.000450124
