epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,5991.12,0.50839,1.5883,0.93814,0.49861,0.56451,0.60115,0.53756,0.54321,1.58753,0.87511,0.000693022,0.000693022,0.000693022
14,6426.27,0.50449,1.45824,0.93416,0.46615,0.62893,0.57353,0.51464,0.54333,1.5787,0.89156,0.000675023,0.000675023,0.000675023
15,6853.88,0.5132,1.36707,0.93788,0.44541,0.65961,0.60106,0.54408,0.53435,1.65765,0.86617,0.000657025,0.000657025,0.000657025
16,7283.33,0.49154,1.34822,0.93696,0.58317,0.69745,0.69103,0.6141,0.53323,1.40153,0.84944,0.000639027,0.000639027,0.000639027
17,7740.21,0.48222,1.26245,0.93305,0.56321,0.69412,0.67165,0.61508,0.4883,1.32398,0.85116,0.000621029,0.000621029,0.000621029
18,8155.72,0.44057,1.19754,0.92121,0.65204,0.66016,0.64186,0.57221,0.51256,1.41845,0.86192,0.000603031,0.000603031,0.000603031
19,8583.29,0.45711,1.12293,0.92141,0.57896,0.68788,0.70417,0.62982,0.50258,1.08763,0.86115,0.000585032,0.000585032,0.000585032
20,8997.04,0.46379,1.12633,0.9292,0.6188,0.75724,0.72612,0.66229,0.51225,1.17187,0.87164,0.000567034,0.000567034,0.000567034
21,9427.78,0.439,1.06833,0.92264,0.58249,0.65022,0.63799,0.58155,0.49286,1.38021,0.83281,0.000549036,0.000549036,0.000549036
22,9843.4,0.44092,1.04074,0.92546,0.53904,0.71442,0.67202,0.61449,0.49665,1.21936,0.85655,0.000531038,0.000531038,0.000531038
23,10263,0.42522,1.00295,0.91039,0.70143,0.75912,0.77032,0.68915,0.52246,0.99404,0.86746,0.00051304,0.00051304,0.00051304
24,10682.3,0.43283,0.95107,0.9255,0.54971,0.76941,0.73174,0.64644,0.48868,1.00233,0.8519,0.000495041,0.000495041,0.000495041
25,11117.2,0.4281,0.91056,0.91715,0.62555,0.67997,0.73997,0.66133,0.51235,1.02429,0.86045,0.000477043,0.000477043,0.000477043
26,11545.2,0.40827,0.92931,0.91524,0.56632,0.62744,0.63617,0.57855,0.49784,1.11768,0.84987,0.000459045,0.000459045,0.000459045
27,11960.1,0.43272,0.87443,0.94452,0.5957,0.69962,0.68437,0.62194,0.46324,0.99468,0.84061,0.000441047,0.000441047,0.000441047
28,12378.5,0.41424,0.84818,0.89991,0.80094,0.63286,0.77562,0.70509,0.47585,0.93816,0.85957,0.000423049,0.000423049,0.000423049
29,12799,0.41898,0.83528,0.92156,0.78894,0.6505,0.77828,0.71141,0.47706,0.92851,0.84468,0.00040505,0.00040505,0.00040505
30,13223.3,0.38931,0.7733,0.90603,0.68563,0.76911,0.78832,0.72028,0.47781,0.91115,0.83293,0.000387052,0.000387052,0.000387052
31,13639.9,0.37045,0.74041,0.89262,0.68175,0.76836,0.79025,0.73281,0.4587,0.94796,0.84895,0.000369054,0.000369054,0.000369054
32,14046.8,0.36445,0.71401,0.90053,0.79684,0.77689,0.83408,0.75733,0.46546,0.78073,0.83308,0.000351056,0.000351056,0.000351056
33,14457.9,0.3817,0.7043,0.89119,0.84192,0.74621,0.88729,0.81386,0.44977,0.71643,0.81163,0.000333058,0.000333058,0.000333058
34,14880.4,0.36886,0.66309,0.88895,0.86195,0.68803,0.82842,0.74406,0.47644,0.80591,0.86371,0.000315059,0.000315059,0.000315059
35,15288,0.34762,0.63495,0.89203,0.89413,0.70771,0.83273,0.7687,0.44092,0.74661,0.8285,0.000297061,0.000297061,0.000297061
36,15695.8,0.36461,0.66957,0.89867,0.82604,0.71085,0.80359,0.73312,0.43593,0.74714,0.81671,0.000279063,0.000279063,0.000279063
37,16099.4,0.35097,0.63099,0.88342,0.81248,0.68987,0.80268,0.74807,0.4395,0.72465,0.82132,0.000261065,0.000261065,0.000261065
38,16511.3,0.35207,0.6239,0.89095,0.71461,0.76599,0.81602,0.75353,0.43111,0.74752,0.8107,0.000243067,0.000243067,0.000243067
39,16912.6,0.33431,0.61257,0.86329,0.82898,0.61667,0.78095,0.71596,0.44001,0.77475,0.82801,0.000225068,0.000225068,0.000225068
40,17321.8,0.32083,0.60089,0.89313,0.8339,0.66122,0.79896,0.73259,0.44332,0.75594,0.82586,0.00020707,0.00020707,0.00020707
41,17716.8,0.3167,0.44335,0.84728,0.8392,0.68473,0.79159,0.74006,0.44751,0.78408,0.84335,0.000189072,0.000189072,0.000189072
42,18112.3,0.30002,0.39112,0.83957,0.78058,0.63748,0.78474,0.71526,0.46045,0.76452,0.84178,0.000171074,0.000171074,0.000171074
43,18518.6,0.30733,0.39838,0.85397,0.75757,0.73367,0.82128,0.76143,0.43313,0.7067,0.83124,0.000153076,0.000153076,0.000153076
