epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.923,0.62666,3.41172,1.0236,0.473,0.01748,0.15197,0.13474,0.63543,3.96324,0.86288,0.000296267,0.000296267,0.000296267
2,1016.99,0.61815,2.65311,0.99164,0.24232,0.27666,0.23498,0.20776,0.60874,3.59842,0.91123,0.000587401,0.000587401,0.000587401
3,1485.62,0.63272,2.57059,1.00239,0.27367,0.60822,0.17256,0.13678,0.66427,3.19452,0.96764,0.000866537,0.000866537,0.000866537
4,1936.96,0.59749,2.43514,0.97011,0.12481,0.67815,0.1932,0.15206,0.75429,3.25196,1.05509,0.000855005,0.000855005,0.000855005
5,2382.81,0.60828,2.25577,0.9725,0.32297,0.45336,0.32678,0.29308,0.58557,2.99701,0.91948,0.000837007,0.000837007,0.000837007
6,2825.42,0.60083,2.18023,0.9811,0.21374,0.64249,0.37517,0.30012,0.64093,2.92116,0.88662,0.000819009,0.000819009,0.000819009
7,3279.68,0.63916,2.13124,1.03362,0.25714,0.57502,0.37846,0.32434,0.59487,2.68677,0.9077,0.000801011,0.000801011,0.000801011
8,3722.36,0.58939,1.99112,0.97912,0.31569,0.6978,0.39025,0.3361,0.53562,2.31141,0.84511,0.000783013,0.000783013,0.000783013
9,4247.16,0.5562,1.88061,0.9577,0.30598,0.59593,0.46986,0.40256,0.54581,2.09595,0.87279,0.000765014,0.000765014,0.000765014
10,4683.77,0.52789,1.74784,0.94764,0.50991,0.49611,0.4721,0.39796,0.63181,2.098,0.95673,0.000747016,0.000747016,0.000747016
11,5129.65,0.52223,1.66386,0.93945,0.49002,0.53143,0.51608,0.45564,0.53213,1.75752,0.85539,0.000729018,0.000729018,0.000729018
12,5568.68,0.5112,1.62651,0.95423,0.37058,0.57995,0.46662,0.41238,0.53969,1.84582,0.86597,0.00071102,0.00071102,0.00071102
