epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.869,3.04933,3.9334,4.24921,0.0026,0.8,0.00626,0.00114,3.22082,4.47157,4.15981,8.888e-05,8.888e-05,8.888e-05
2,407.177,3.02121,3.8622,4.18671,0.00406,1,0.01288,0.00233,3.22808,4.47945,4.16134,0.00018513,0.00018513,0.00018513
3,521.246,2.95471,3.84564,4.16983,0.00435,1,0.04467,0.00568,3.23864,4.48774,4.1634,0.000277421,0.000277421,0.000277421
4,648.968,2.93954,3.81057,4.1112,0.00198,0.8,0.20092,0.02138,3.22435,4.47476,4.15481,0.000365752,0.000365752,0.000365752
5,760.935,2.89266,3.74516,4.03703,0.00241,0.8,0.11846,0.01408,3.12671,4.39938,4.09089,0.000450124,0.000450124,0.000450124
6,884.995,2.73115,3.69275,3.90898,0.0024,0.8,0.1862,0.04204,2.87439,4.24381,3.92824,0.000530536,0.000530536,0.000530536
7,1045.35,2.70063,3.65867,3.79245,0.00332,1,0.19467,0.02729,2.47416,4.02093,3.72205,0.000606988,0.000606988,0.000606988
8,1184.13,2.57033,3.59062,3.66424,0.00351,1,0.25094,0.12598,2.07303,5.30864,3.40167,0.000679481,0.000679481,0.000679481
9,1317.17,2.50166,3.55748,3.53109,0.40535,0.6,0.19343,0.09581,2.17525,8.63942,3.42285,0.000748014,0.000748014,0.000748014
10,1408.35,2.5026,3.49542,3.39819,0.00338,1,0.18958,0.0692,2.40472,4.28964,3.44254,0.000812588,0.000812588,0.000812588
11,1523.91,2.40853,3.43513,3.28949,0.60384,0.4,0.19236,0.09756,1.79849,6.6887,3.24168,0.000873202,0.000873202,0.000873202
12,1619.43,2.36192,3.44639,3.23046,0.60906,0.33333,0.18964,0.09028,2.14828,40.1148,3.69773,0.000869024,0.000869024,0.000869024
13,1717.47,2.29039,3.39875,3.10042,0.00356,1,0.16265,0.09225,1.63616,3.99753,2.90154,0.000847026,0.000847026,0.000847026
14,1813.79,2.18577,3.36655,3.02498,0.00343,1,0.16103,0.06421,2.22044,4.10953,3.11988,0.000825029,0.000825029,0.000825029
15,1908.32,2.21386,3.28802,2.94824,0.00334,1,0.20647,0.04829,2.80737,5.11407,3.46538,0.000803031,0.000803031,0.000803031
16,1998.11,2.08267,3.19107,2.8756,0.00337,1,0.0816,0.02853,2.58639,3.73106,3.55882,0.000781033,0.000781033,0.000781033
17,2229.19,1.99941,3.1668,2.7638,0.02881,0.27667,0.07871,0.04118,1.30721,4.19122,2.3505,0.000759035,0.000759035,0.000759035
18,2356.06,2.00282,3.15571,2.74516,0.08585,0.30333,0.19417,0.10119,1.46777,4.02294,2.36364,0.000737037,0.000737037,0.000737037
