epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.523,3.05746,3.94791,4.26549,0.00371,1,0.00699,0.00116,3.20627,4.46723,4.1604,9.999e-05,9.999e-05,9.999e-05
2,266.072,3.04011,3.8506,4.21038,0.00232,0.8,0.02203,0.00369,3.21117,4.47544,4.16294,0.000202731,0.000202731,0.000202731
3,365.961,3.02417,3.82994,4.18467,0.00229,0.8,0.04534,0.0089,3.21999,4.48241,4.16538,0.000296673,0.000296673,0.000296673
4,494.22,2.97888,3.81296,4.1546,0.00221,0.8,0.27768,0.05541,3.24149,4.48272,4.17218,0.000381815,0.000381815,0.000381815
5,589.454,2.99273,3.79242,4.12841,0.00223,0.8,0.27017,0.03123,3.35395,4.49812,4.21278,0.000458159,0.000458159,0.000458159
6,671.811,2.92591,3.77058,4.09186,0.00219,0.8,0.12361,0.01287,3.34236,4.44098,4.20992,0.000525703,0.000525703,0.000525703
7,755.71,2.86536,3.7081,4.02655,0.00528,1,0.25831,0.04549,3.23457,4.68481,4.13737,0.000584448,0.000584448,0.000584448
8,839.091,2.85689,3.67348,3.91691,0.0036,1,0.22853,0.02416,3.42395,8.84283,4.39578,0.000634394,0.000634394,0.000634394
9,921.424,2.73804,3.73849,3.85477,0.00363,1,0.28113,0.02837,3.52477,16.9026,4.69024,0.000675541,0.000675541,0.000675541
