epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.915,3.67255,7.96053,4.48341,0,0,0,0,5.42754,9.22297,4.16062,2.352e-05,2.352e-05,2.352e-05
2,274.377,3.37298,7.25134,4.51492,0,0,0,0,5.42839,9.23043,4.16226,5.08244e-05,5.08244e-05,5.08244e-05
3,334.446,3.31473,6.74911,4.47745,0,0,0,0,5.42909,9.24329,4.16379,7.58003e-05,7.58003e-05,7.58003e-05
4,379.527,3.62733,8.087,4.34145,0,0,0,0,5.42966,9.24948,4.16521,9.84477e-05,9.84477e-05,9.84477e-05
5,422.982,3.49913,6.8802,4.32047,0,0,0,0,5.43082,9.26289,4.16786,0.000118767,0.000118767,0.000118767
6,465.528,3.63825,7.07839,4.26291,0,0,0,0,5.43208,9.26963,4.17016,0.000136757,0.000136757,0.000136757
7,510.074,3.39987,6.43373,4.38667,0,0,0,0,5.43462,9.27888,4.1744,0.000152419,0.000152419,0.000152419
8,554,3.24671,6.32243,4.33157,0,0,0,0,5.43654,9.28245,4.17776,0.000165752,0.000165752,0.000165752
9,606.283,3.46871,7.41554,4.34362,0.00278,0.11111,0.00553,0.0017,5.43825,9.28284,4.18336,0.000176758,0.000176758,0.000176758
10,724.214,3.19739,6.58922,4.30077,0.00154,0.11111,0.00503,0.00142,5.43917,9.2771,4.18742,0.000185434,0.000185434,0.000185434
11,775.867,4.11509,9.82044,4.25376,0.00154,0.11111,0.00481,0.00149,5.44015,9.26423,4.19215,0.000191782,0.000191782,0.000191782
12,823.074,3.4051,6.22745,4.21097,0.00154,0.11111,0.00553,0.0014,5.44337,9.26406,4.19825,0.000195802,0.000195802,0.000195802
13,873.154,3.45133,6.50742,4.19138,0.00154,0.11111,0.00503,0.00148,5.44464,9.26327,4.20138,0.000197493,0.000197493,0.000197493
14,923.589,3.62291,6.55186,4.23615,0.00231,0.11111,0.00425,0.00128,5.44647,9.26187,4.20692,0.000196855,0.000196855,0.000196855
